id,building_name,longitude,latitude,category
46,Horace H. Rackham School of Graduate Studies,42.315925978685414,83.70765884447302,administration
47,Randall Laboratory,42.3164619668852,83.72160990098499,laboratory
48,Stephen M. Ross Academic Center,42.2808993629911,83.76113306704502,"meetingrooms,laboratory"
49,Shapiro Undergraduate Library (UGLi),42.311531855614696,83.71353587430607,library
50,School of Nursing (North Ingalls Building),42.30576888648323,83.76339676136311,lecturehall
51,"Henry Vaughan Building, School of Public Health I",42.330247934174146,83.70093077261058,lecturehall
52,"Thomas Francis, Jr Building, School of Public Health II",42.25420912953401,83.70798869756743,lecturehall
53,School of Social Work Building,42.307174312586916,83.71635276403858,lecturehall
54,South Hall (Law School),42.28693716018878,83.69586688088837,"law,lecturehall"
55,202 South Thayer Building,42.29266625688374,83.74115910369083,"lecturehall,administration"
56,Edward Henry Kraus Natural Science Building (NatSci),42.231331418858424,83.73559744278653,"lecturehall,administration"
57,Michigan Union,42.28841716115725,83.74320400616502,administration
58,Undergraduate Science Building (USB),42.2606166176961,83.70061312078299,"administration,meetingrooms"
59,"University Towers, 1225 South University",42.30254267396232,83.72062170244624,dormitory
60,Joan and Sanford Weill Hall,42.27593936593508,83.7411312518506,administration
61,West Hall,42.270748149271746,83.72779242220949,"workout,dormitory,dininghall"
62,Art and Architecture Building,42.28849186855211,83.69953701414096,"administration,lecturehall,north"
63,Walter E. Lay Automotive Lab,42.32105143255444,83.7338059208512,"laboratory,north"
64,"Blanch Anderson Moore Hall, School of Music",42.3127425851454,83.7402761907644,"administration,lecturehall,north"
65,Bursley Hall,42.26333899417628,83.75559915409345,"meetingrooms,dormitory,dininghall,north"
66,"Charles R. Walgreen, Jr. Drama Center",42.32375333957092,83.7600668687611,"meetingrooms,north"
67,Chrysler Center,42.29356265658278,83.7392234572952,"lecturehall,meetingrooms,north"
68,Cooley Building,42.23238572104649,83.75469365001487,"laboratory,north"
69,Bob and Betty Beyster Building,42.26105744454748,83.753904717559,"lecturehall,administration,north"
70,Dow Engineering Building,42.232531267106104,83.75271987599017,"laboratory,lecturehall,administration,north"
71,Duderstadt Center (The Dude),42.2757857454407,83.73987669862036,"meetingrooms,north"
72,Electrical Engineering and Computer Science Building (EECS),42.31215827667637,83.72696778560464,"laboratory,administration,lecturehall,meetingrooms,north"
73,Environmental & Water Resources Engineering Building,42.31524788738997,83.77056321780948,"laboratory,lecturehall,administration,north"
74,Ford Library,42.252140449123594,83.7357641458013,"library,north"
75,Francois-Xavier Bagnoud Building,42.30699909658146,83.70922745859681,"lecturehall,administration,north"
76,G. G. Brown Laboratory,42.30700425664555,83.73226010665937,"laboratory,north"
77,Industrial and Operations Engineering Building,42.30679697529051,83.69338540227017,"laboratory,administration,lecturehall,north"
78,Lurie Biomedical Engineering Building,42.27255883163715,83.69554441072235,"lecturehall,administration,north"
79,Lurie Engineering Center,42.30991023960955,83.75644771255033,"meetingrooms,north"
80,"Max Kade House, 627 Oxford Street",42.293324902566994,83.78600692278849,"lecturehall,administration,north"
81,Naval Architecture and Marine Engineering Building,42.29803417157086,83.74089247786736,"lecturehall,administration,north"
82,North Campus Recreation Building,42.237948011769994,83.69900920461974,"recreation,north"
83,Phoenix Memorial Laboratory,42.24854712651081,83.70550783893275,"laboratory,north"
84,Pierpont Commons (formerly North Campus Commons),42.23651644752734,83.72711672554286,"recreation,meetingrooms,north"
85,"Earl V. Moore Building, School of Music",42.25699836291247,83.72980966600831,"administration,lecturehall,north"
86,Space Research Building,42.24697049223856,83.71119969653523,"research,north"
87,Sterns Building,42.32769905598292,83.71007742956438,"administration,north"
88,Children's Psychiatric Hospital (CPH),42.24746517154761,83.75041318063143,"hospital,medical"
89,C. S. Mott Children's Hospital,42.271005899618736,83.76211225319138,"hospital,medical"
90,"Medical Science Buildings, Building I",42.31954803217305,83.70036575810276,"lecturehall,administration,medical"
91,"Medical Science, Building II",42.23591986990013,83.74618887155155,"lecturehall,administration,medical"
92,"Medical Science Research, Building III",42.233572378769,83.75481683989784,"research,medical"
93,Women's Hospital,42.29750482771273,83.70980501198622,"hospital,medical"
94,Simpson Memorial Institute,42.3053232427995,83.7798418825027,"research,medical"
95,Brehm Tower,42.30223594195522,83.74359707766934,"research,medical"
96,Administrative Services Building,42.3016508288413,83.6994307329716,"administration,athletic_campus"
97,Boyer Building,42.27735168470307,83.77617530815323,"lecturehall,meetingrooms,athletic_campus"
98,Buhr Library,42.23425560560662,83.7778024921363,"library,athletic_campus"
